LeadID,Date,MarketingChannel,Impressions,Clicks,LeadsGenerated,Conversions,Revenue
71,2023-07-08,Organic,2673,1172,236,114,18810
72,2023-01-16,LinkedIn,1980,501,156,150,25200
73,2023-11-13,Organic,1673,1412,260,59,49265
74,2023-11-22,Facebook,5348,4944,157,24,16440
75,2023-12-04,LinkedIn,4304,2191,1566,848,636848
76,2023-08-19,Facebook,3796,2051,1121,51,36465
77,2023-05-14,Google Ads,7219,6978,796,80,74960
78,2023-05-07,Email,2416,379,233,12,4884
79,2023-01-03,Facebook,7664,5460,3670,782,556784
80,2023-12-26,LinkedIn,6492,4117,3049,2932,627448
81,2023-03-23,LinkedIn,3230,1786,1172,725,350175
82,2023-08-28,Google Ads,7129,334,17,9,4464
83,2023-03-28,Email,5930,513,480,195,181155
84,2023-09-28,Email,8780,670,412,256,250112
85,2023-11-19,Google Ads,5311,3015,1304,794,284252
86,2023-02-21,LinkedIn,5387,3217,1476,302,224386
87,2023-09-20,Organic,2343,1004,812,267,219741
88,2023-03-02,Google Ads,6881,5333,4956,3113,1245200
89,2023-01-22,Google Ads,8431,4527,1987,1773,1551375
90,2023-07-21,Email,2915,1550,1143,250,196500
91,2023-04-29,Organic,5153,4539,1740,1602,1589184
92,2023-11-27,LinkedIn,1264,851,381,220,166320
93,2023-06-09,Google Ads,4403,770,578,239,123324
94,2023-01-20,LinkedIn,9776,9319,6157,3631,551912
95,2023-10-08,LinkedIn,8803,5653,1123,1032,668736
96,2023-10-03,Email,9403,5002,804,515,229175
97,2023-05-30,Email,8638,6167,2007,633,381066
98,2023-11-04,Google Ads,1141,533,533,221,96577
99,2023-09-18,Email,6336,585,26,25,10425
100,2023-02-15,Google Ads,3526,3092,45,9,3501
101,2023-02-05,Organic,5178,3911,1620,1040,734240
102,2023-04-03,LinkedIn,2239,1956,1042,542,88346
103,2023-11-04,Google Ads,3776,2578,1894,552,156768
104,2023-06-07,Organic,6857,128,113,24,17040
105,2023-12-31,Google Ads,8035,6081,5262,3745,1512980
106,2023-02-06,Email,5545,401,19,7,1575
107,2023-05-19,Email,5964,3725,2217,281,245875
108,2023-02-12,Facebook,4766,1708,1202,726,238854
109,2023-08-03,Google Ads,2083,475,178,58,36714
110,2023-03-28,LinkedIn,2300,1126,1076,88,37400
111,2023-06-06,Organic,5469,3156,647,613,352475
112,2023-01-19,Email,5334,4642,1089,337,176251
113,2023-04-25,Facebook,8082,6595,1606,1085,985180
114,2023-08-04,Email,6400,2991,2392,2304,1605888
115,2023-04-01,Email,1357,638,429,67,49245
116,2023-03-11,Google Ads,9144,5326,3835,1619,1062064
117,2023-01-25,Facebook,4701,829,540,476,390796
118,2023-07-08,Google Ads,5902,3100,2313,111,29859
119,2023-10-28,Email,3115,1012,716,33,5478
120,2023-03-31,Organic,8721,4952,3326,1326,1173510
121,2023-06-03,Organic,8970,4540,1982,1105,300560
122,2023-01-01,Google Ads,3869,2649,2450,1038,392364
123,2023-12-08,LinkedIn,8048,3189,1428,566,76976
124,2023-05-11,Email,5551,381,221,45,9000
125,2023-05-22,Facebook,8209,4568,2542,2159,215900
126,2023-05-02,Organic,3613,216,87,67,23048
127,2023-10-02,Facebook,8215,5124,624,473,331573
128,2023-07-06,Email,4782,1511,313,66,23298
129,2023-12-02,Email,2908,2547,316,292,241776
130,2023-07-19,LinkedIn,1341,1281,452,111,33966
131,2023-10-01,Organic,9208,7578,36,17,11067
132,2023-09-26,Google Ads,4770,2580,2176,1022,444570
133,2023-04-18,LinkedIn,5921,2538,565,390,98280
134,2023-04-05,Google Ads,4702,2659,1950,1510,404680
135,2023-09-21,Google Ads,8592,7048,887,32,22560
136,2023-06-03,LinkedIn,6065,5270,3576,3505,1528180
137,2023-04-24,LinkedIn,3096,1880,402,70,37100
138,2023-01-17,LinkedIn,6457,5673,5084,4130,3762430
139,2023-04-05,Facebook,2474,506,199,92,41952
140,2023-02-21,Organic,4509,588,217,208,61360
141,2023-09-17,LinkedIn,7043,3218,2997,2225,1935750
142,2023-11-04,Facebook,6761,2391,1955,1204,332304
143,2023-09-11,Email,4359,581,307,213,198729
144,2023-01-30,Facebook,4870,3169,2021,113,40454
145,2023-01-13,LinkedIn,4582,2181,1914,251,227406
146,2023-02-11,Organic,1936,1813,893,735,368970
147,2023-05-09,Email,3928,1555,542,375,231750
148,2023-08-10,LinkedIn,3956,3201,2775,2064,658416
149,2023-11-23,LinkedIn,2314,2118,24,5,3665
150,2023-10-23,Facebook,3435,3330,73,30,18390
151,2023-01-31,Google Ads,9547,3122,832,693,558558
152,2023-09-15,Organic,9482,7799,4116,35,15505
153,2023-01-16,Organic,9611,7835,3396,1774,583646
154,2023-05-02,LinkedIn,3655,1954,1390,606,544188
155,2023-09-07,Facebook,5402,4648,2037,998,131736
156,2023-11-26,Facebook,8613,3193,2777,223,163236
157,2023-03-05,LinkedIn,7526,1314,888,42,15414
158,2023-08-08,Organic,5553,2123,1682,217,94829
159,2023-12-16,Google Ads,2822,2429,2423,593,133425
160,2023-11-13,LinkedIn,3451,483,441,366,116388
161,2023-11-11,Google Ads,9189,4341,394,229,171521
162,2023-04-26,LinkedIn,3842,3620,861,663,320229
163,2023-07-01,Email,9540,3566,2758,1892,1873080
164,2023-08-08,Facebook,9972,8438,685,323,223193
165,2023-09-21,Google Ads,2502,1756,44,24,20928
166,2023-04-10,Email,4057,2874,634,436,134724
167,2023-08-11,Organic,2210,221,216,14,2058
168,2023-08-15,LinkedIn,3205,458,269,161,25277
169,2023-07-24,Organic,7340,3145,1620,137,48224
170,2023-10-13,LinkedIn,5329,3851,1693,1688,1576592
171,2023-10-07,Google Ads,1905,1160,608,289,93636
172,2023-12-30,Email,9769,4516,2973,2423,2045012
173,2023-08-06,Facebook,2530,1212,687,14,2576
174,2023-04-30,Organic,6082,3970,2637,2254,2017330
175,2023-01-06,Google Ads,8692,5747,53,35,25270
176,2023-10-05,Email,9341,2647,1947,1321,1066047
177,2023-01-16,Email,2246,1556,1395,6,3906
178,2023-09-01,LinkedIn,5970,1820,637,333,226107
179,2023-02-07,Facebook,4530,3960,2954,104,27664
180,2023-06-20,LinkedIn,1839,404,116,88,52008
181,2023-06-17,Facebook,7059,5358,366,31,24800
182,2023-07-11,Email,4983,1354,317,141,54285
183,2023-11-04,Email,2127,186,149,71,25276
184,2023-05-17,Google Ads,4346,3958,794,504,492912
185,2023-05-19,LinkedIn,7868,3151,1331,1064,800128
186,2023-12-19,Google Ads,2340,395,139,43,9202
187,2023-07-22,Google Ads,9291,3307,1544,200,173800
188,2023-04-09,Email,7340,3441,1137,659,113348
189,2023-02-01,LinkedIn,3457,996,922,755,735370
190,2023-08-14,Email,2849,747,163,114,34314
191,2023-04-04,Organic,2732,2492,799,565,328830
192,2023-06-10,LinkedIn,7255,2897,992,319,317086
193,2023-05-22,Google Ads,8002,6746,840,535,529115
194,2023-08-23,Facebook,5651,1824,1811,724,208512
195,2023-08-14,LinkedIn,6206,3481,2765,275,112475
196,2023-06-02,Google Ads,3759,1947,1757,1442,1355480
197,2023-11-23,Google Ads,8573,3447,1644,477,101601
198,2023-07-18,LinkedIn,7258,3810,2308,801,697671
199,2023-06-27,Email,6997,2451,2111,1817,1399090
200,2023-09-19,Email,2934,1152,322,268,77452
201,2023-08-11,Organic,7774,4473,1751,123,49815
202,2023-04-20,LinkedIn,6611,5329,5321,4833,4262706
203,2023-05-28,Organic,5145,906,772,518,76664
204,2023-02-24,Facebook,7374,6586,4382,1385,639870
205,2023-05-16,LinkedIn,9009,2911,235,81,66258
206,2023-03-27,Email,8694,1453,247,186,125364
207,2023-02-12,Organic,2482,2194,1062,676,177788
208,2023-04-10,LinkedIn,4679,2431,669,449,331362
209,2023-04-12,Organic,5109,786,780,381,266700
210,2023-06-30,Email,3840,1928,672,276,135240
211,2023-03-04,Facebook,6946,1985,371,50,7500
212,2023-02-02,Facebook,5775,4812,3206,959,493885
213,2023-03-12,Facebook,9647,5326,922,716,453944
214,2023-06-03,Facebook,8313,5938,3090,2104,511272
215,2023-05-26,Google Ads,1101,1091,699,653,395065
216,2023-02-28,Email,3529,1870,1014,693,97713
217,2023-01-31,Email,6727,948,447,387,361845
218,2023-12-16,Email,2044,1082,522,200,89000
219,2023-05-09,LinkedIn,8886,2045,1566,1352,520520
220,2023-10-12,Email,5760,5478,3563,3380,415740
221,2023-10-14,Email,6215,4115,3988,3305,1695465
222,2023-01-19,Facebook,3052,870,377,129,111456
223,2023-05-19,Organic,1364,771,272,263,243538
224,2023-07-30,LinkedIn,3293,2839,902,347,270660
225,2023-01-20,LinkedIn,5452,4612,1421,115,37030
226,2023-04-27,Facebook,5172,1260,1175,235,136770
227,2023-10-26,Facebook,3140,2814,1187,992,446400
228,2023-03-10,Email,8639,7542,1210,476,276556
229,2023-06-06,Facebook,9813,2000,467,77,57596
230,2023-09-24,Organic,9783,3784,544,150,46800
231,2023-10-22,Email,8880,8575,8572,7962,1050984
232,2023-11-21,LinkedIn,5819,4653,747,37,9731
233,2023-02-01,Facebook,7724,3181,77,35,26600
234,2023-11-04,Facebook,8374,7639,6109,5383,2314690
235,2023-11-21,Organic,7181,1373,287,27,9099
236,2023-01-02,Facebook,1275,827,327,230,124430
237,2023-04-26,Google Ads,5653,859,138,113,28250
238,2023-12-11,LinkedIn,4543,1497,316,3,1203
239,2023-11-09,Organic,6505,3701,389,251,181222
240,2023-05-16,Google Ads,1618,1290,138,131,16113
241,2023-02-02,Google Ads,5385,2298,551,69,37674
242,2023-02-24,Organic,6944,5134,1015,395,346415
243,2023-02-09,Email,4490,4159,1303,222,211788
244,2023-02-04,Organic,7922,7107,4317,2510,527100
245,2023-10-14,Facebook,1881,945,941,787,691773
246,2023-08-01,Google Ads,5991,5017,2390,2113,344419
247,2023-07-01,Email,6015,2140,1849,1203,738642
248,2023-11-17,Facebook,8337,7693,3905,1349,576023
249,2023-10-24,Google Ads,5671,5213,1173,610,467260
250,2023-06-01,Email,3041,2999,256,99,56331
251,2023-05-11,Organic,6655,5129,529,287,241080
252,2023-09-18,LinkedIn,4731,856,17,17,3859
253,2023-04-14,Facebook,3416,332,45,35,20790
254,2023-05-24,LinkedIn,8205,557,491,476,233240
255,2023-08-28,Organic,4534,1423,617,195,105300
256,2023-03-06,Organic,8049,6147,6118,2946,771852
257,2023-12-29,Google Ads,6961,2902,2436,133,103873
258,2023-01-18,Google Ads,8262,4238,3327,1350,518400
259,2023-07-26,Email,2013,117,111,109,87527
260,2023-10-17,Organic,8230,5505,3455,2058,395136
261,2023-06-24,Organic,8995,7230,4896,4756,1317412
262,2023-10-19,Organic,4229,1061,175,28,8372
263,2023-04-26,Email,9588,8572,5678,2026,818504
264,2023-01-20,Organic,6989,368,282,228,25308
265,2023-04-15,LinkedIn,1992,489,171,109,69106
266,2023-01-22,LinkedIn,3545,1061,605,451,67199
267,2023-11-21,Google Ads,9315,5644,4127,2137,527839
268,2023-09-29,LinkedIn,4023,2146,193,119,23562
269,2023-02-01,Facebook,7271,1711,987,464,293712
270,2023-06-14,Organic,2605,2517,570,290,288550
271,2023-04-16,LinkedIn,1313,1273,683,356,49484
272,2023-06-23,Facebook,7965,5396,3253,2728,1505856
273,2023-07-04,Organic,4611,1178,814,39,25545
274,2023-03-02,Google Ads,4971,2127,130,33,27027
275,2023-11-06,LinkedIn,3732,1518,1196,644,245364
276,2023-10-29,Google Ads,7813,4347,89,7,1806
277,2023-11-22,LinkedIn,1754,512,48,20,4380
278,2023-06-30,Facebook,3151,1852,349,248,225928
279,2023-03-17,Facebook,6530,5250,1655,1186,157738
280,2023-09-02,Google Ads,4501,815,272,48,9600
281,2023-10-21,Organic,8139,1435,1141,1065,652845
282,2023-02-23,Organic,1513,996,867,562,441732
283,2023-03-27,Facebook,1501,231,88,33,10296
284,2023-07-27,Organic,9697,5537,1308,146,132568
285,2023-10-07,Facebook,2094,1564,681,217,57505
286,2023-08-04,Organic,3070,589,536,300,221100
287,2023-08-31,Organic,3417,815,356,261,46719
288,2023-10-23,Organic,3634,1726,878,723,446814
289,2023-11-15,Google Ads,2279,375,262,215,60630
290,2023-06-13,Organic,4613,4387,436,37,14726
291,2023-10-21,Email,7825,2851,144,78,43680
292,2023-06-08,Organic,4346,2141,119,51,9537
293,2023-04-14,Facebook,3080,502,414,278,51986
294,2023-04-26,Google Ads,8222,7868,1585,1218,1214346
295,2023-03-10,Google Ads,6326,5022,4142,1736,682248
296,2023-12-22,Facebook,1976,486,153,65,63700
297,2023-09-17,Organic,5261,3292,2048,1411,627895
298,2023-02-01,Email,6467,3382,663,276,173328
299,2023-07-25,Facebook,3178,391,224,43,31046
300,2023-10-20,Google Ads,3174,777,69,53,17066
301,2023-09-25,Google Ads,3708,3277,1346,1094,412438
302,2023-06-01,LinkedIn,6896,1393,843,81,57672
303,2023-08-07,Email,3981,3107,1692,1200,1113600
304,2023-05-02,Organic,1010,871,28,14,3542
305,2023-11-15,Organic,6265,1796,510,225,221625
306,2023-02-08,Email,6294,4338,1711,638,404492
307,2023-07-24,Email,7247,476,121,106,52682
308,2023-11-25,Email,5585,4943,2212,789,617787
309,2023-02-12,Email,3707,2558,942,887,381410
310,2023-02-07,Facebook,1387,528,445,21,12117
311,2023-05-17,Google Ads,6394,1423,460,160,49760
312,2023-03-24,Facebook,3105,754,463,63,16821
313,2023-10-29,Google Ads,5671,4306,1103,488,327936
314,2023-04-29,LinkedIn,7524,6670,4505,3033,837108
315,2023-12-10,Organic,9020,3333,727,196,99372
316,2023-08-09,LinkedIn,7589,6563,862,493,471801
317,2023-09-01,Google Ads,8101,5044,1128,58,48314
318,2023-02-07,Google Ads,9587,1249,186,161,77280
319,2023-05-18,Google Ads,6766,2431,1202,1048,605744
320,2023-11-05,Email,2977,171,41,7,4298
321,2023-11-24,LinkedIn,5034,2224,2078,56,10640
322,2023-10-10,Organic,1062,349,170,156,141336
323,2023-08-24,Facebook,1646,395,226,178,114454
324,2023-03-25,Email,1709,1633,407,274,218926
325,2023-10-29,Facebook,3741,2509,1602,1479,724710
326,2023-09-07,Organic,7019,5870,1810,1615,592705
327,2023-05-22,LinkedIn,4106,3776,1121,434,124992
328,2023-04-03,Email,5773,1770,1272,523,64852
329,2023-09-15,Email,4601,521,368,191,54817
330,2023-06-16,Google Ads,6797,3173,163,140,22260
331,2023-09-05,Email,7033,4396,1179,793,448045
332,2023-01-28,LinkedIn,1913,253,236,203,100891
333,2023-09-05,Organic,4092,4034,2757,252,124236
334,2023-01-10,Organic,3613,2047,1647,93,72540
335,2023-11-11,LinkedIn,1854,275,248,39,23946
336,2023-10-30,LinkedIn,1759,110,77,59,51743
337,2023-01-31,Facebook,1483,1123,553,56,41216
338,2023-09-26,Facebook,1954,1460,106,22,12584
339,2023-10-13,Email,9688,3689,635,32,16352
340,2023-10-15,Email,8929,7016,5963,5635,2840040
341,2023-02-12,Facebook,3710,2670,1409,268,111488
342,2023-02-04,LinkedIn,6426,3444,2984,914,305276
343,2023-05-31,Facebook,6740,4613,484,400,136000
344,2023-01-09,LinkedIn,1430,267,89,5,3215
345,2023-08-17,Email,3464,2952,1496,1132,760704
346,2023-11-29,Google Ads,3392,2501,1112,123,115128
347,2023-04-25,Email,2556,1279,704,251,141815
348,2023-09-10,LinkedIn,2843,364,33,2,1406
349,2023-12-16,Facebook,1764,1616,1502,907,185935
350,2023-10-15,Organic,6313,2429,1526,1160,899000
351,2023-07-05,Email,3344,2936,833,368,94944
352,2023-06-07,Email,5237,375,263,190,75240
353,2023-08-09,Organic,2494,698,399,37,9324
354,2023-09-22,LinkedIn,5584,3504,871,566,151122
355,2023-12-02,Organic,9739,5623,24,14,1988
356,2023-07-06,Facebook,2388,2169,2109,1063,268939
357,2023-07-14,LinkedIn,5039,3364,1965,1152,1095552
358,2023-02-02,Facebook,3554,3280,274,150,62100
359,2023-05-30,LinkedIn,5841,1808,337,82,20172
360,2023-11-17,Google Ads,1152,463,320,316,113128
361,2023-06-05,Facebook,9043,7873,3962,3498,1913406
362,2023-04-08,LinkedIn,4609,2408,1779,407,378103
363,2023-07-21,Google Ads,9791,3818,2897,610,553270
364,2023-02-06,Email,4425,1384,1353,879,275127
365,2023-07-17,Google Ads,2337,786,730,688,491232
366,2023-04-06,LinkedIn,2444,2398,2062,610,373320
367,2023-06-03,LinkedIn,1576,1438,150,114,46854
368,2023-08-04,Google Ads,7154,4159,2810,1792,1014272
369,2023-01-06,Organic,2368,1477,258,25,24225
370,2023-03-27,Facebook,8535,480,321,312,302328
371,2023-09-21,Organic,5378,3553,130,68,21012
372,2023-04-18,Facebook,1693,1590,177,47,43616
373,2023-11-22,Google Ads,2709,1475,119,111,71484
374,2023-07-02,Google Ads,7358,831,355,164,43296
375,2023-04-27,Google Ads,1948,1316,1022,660,239580
376,2023-08-11,Email,4022,220,171,89,75027
377,2023-02-19,Organic,4778,4178,1907,25,18500
378,2023-07-12,Email,4692,1995,213,174,104574
379,2023-07-28,Organic,9710,6566,3004,2666,474548
380,2023-07-07,Email,8191,5053,3001,542,103522
381,2023-07-21,Email,4420,264,103,93,29109
382,2023-02-02,Google Ads,4454,2074,1436,770,534380
383,2023-02-05,Facebook,8782,7328,1615,1346,1346000
384,2023-05-23,Google Ads,9693,8027,5503,2124,686052
385,2023-01-01,Email,4371,4039,1194,212,133984
386,2023-09-01,Organic,7282,4982,2046,240,76080
387,2023-06-23,Google Ads,1804,307,144,142,20022
388,2023-03-04,Facebook,1295,979,260,19,13737
389,2023-05-21,LinkedIn,4284,1473,1016,636,146280
390,2023-03-10,Organic,3254,2874,559,266,74480
391,2023-06-10,Facebook,2391,1128,583,74,37888
392,2023-08-26,LinkedIn,3107,1221,389,214,139742
393,2023-03-30,Google Ads,7776,5511,1088,114,67488
394,2023-02-17,Google Ads,3753,593,220,2,402
395,2023-02-06,Facebook,9255,1917,239,192,159552
396,2023-02-01,LinkedIn,2150,1747,1378,323,233852
397,2023-05-05,Google Ads,2856,1578,558,475,277400
398,2023-05-22,LinkedIn,2280,1719,708,243,69498
399,2023-07-13,LinkedIn,9935,2110,271,13,10764
400,2023-09-30,Facebook,7680,4322,4010,80,29040
401,2023-01-07,Organic,9275,8946,2166,1082,783368
402,2023-02-24,Email,6258,4178,3436,38,33136
403,2023-02-19,Facebook,9301,3915,1373,1226,490400
404,2023-08-15,Organic,2196,1393,1375,749,414946
405,2023-09-05,LinkedIn,4184,2132,1073,832,527488
406,2023-05-26,LinkedIn,5177,5019,1196,48,30432
407,2023-11-19,Google Ads,7277,3487,1667,306,142596
408,2023-10-26,Facebook,1991,1006,443,187,72369
409,2023-05-24,Organic,2305,1545,76,1,502
410,2023-07-08,Google Ads,2502,2020,1422,1247,700814
411,2023-06-18,Organic,1986,886,709,432,123984
412,2023-11-03,Email,1623,573,180,33,17292
413,2023-04-15,Organic,9922,9717,436,232,95816
414,2023-11-10,Email,9159,291,218,66,33066
415,2023-06-25,Google Ads,7283,5534,2471,379,328593
416,2023-12-21,Organic,6674,6256,4617,2265,414495
417,2023-11-02,Facebook,6949,2324,1439,1006,603600
418,2023-07-23,Google Ads,2352,996,561,418,272536
419,2023-05-16,Google Ads,5296,3049,1201,1100,786500
420,2023-03-19,Organic,9598,8354,1245,831,211905
421,2023-09-01,Google Ads,3202,819,611,240,223440
422,2023-07-09,Organic,5669,1114,588,38,10108
423,2023-03-23,LinkedIn,5152,3821,1183,312,117312
424,2023-05-26,Facebook,6566,4989,2114,399,304038
425,2023-06-09,Email,5426,268,128,78,66222
426,2023-08-18,LinkedIn,7338,2546,799,29,13485
427,2023-08-15,Google Ads,5441,2931,1609,837,434403
428,2023-02-25,Organic,5378,2479,138,13,12779
429,2023-08-19,Facebook,2421,1873,618,316,219304
430,2023-09-29,Email,3305,1986,894,455,134680
431,2023-10-04,Facebook,7165,3689,3068,675,668925
432,2023-02-12,LinkedIn,5708,937,923,3,1869
433,2023-04-03,LinkedIn,7677,2677,944,160,126560
434,2023-06-04,Organic,1310,1157,505,396,246708
435,2023-06-08,Google Ads,2619,2266,784,580,77720
436,2023-08-29,LinkedIn,6942,4877,2834,1585,1057195
437,2023-04-19,LinkedIn,5218,1759,22,4,940
438,2023-10-01,Facebook,2294,1300,180,34,9962
439,2023-04-04,Google Ads,1093,510,426,250,223250
440,2023-04-07,Organic,5272,1324,453,124,87544
441,2023-03-24,Organic,7273,4249,3810,2941,802893
442,2023-02-04,LinkedIn,6014,1591,220,140,69720
443,2023-04-04,Email,9303,3107,1730,323,291346
444,2023-09-19,LinkedIn,8895,8828,925,491,364322
445,2023-01-03,Email,2268,1520,402,251,88854
446,2023-06-01,Email,7591,4719,2237,648,370008
447,2023-10-12,LinkedIn,9244,114,39,15,10410
448,2023-10-29,Organic,7159,6416,3267,1176,1086624
449,2023-04-04,LinkedIn,1198,196,92,77,26565
450,2023-05-04,LinkedIn,6885,3760,3050,2756,928772
451,2023-08-21,Facebook,6374,3531,911,255,92055
452,2023-11-18,Organic,8083,7085,8,7,3871
453,2023-09-14,Organic,4380,2453,688,686,525476
454,2023-09-15,Facebook,9704,8569,3803,3166,2121220
455,2023-07-03,Facebook,2012,118,63,58,39034
456,2023-05-30,Organic,1337,535,291,231,120351
457,2023-03-12,Google Ads,4488,2757,885,144,66384
458,2023-06-02,Facebook,4733,3044,1149,495,223740
459,2023-11-15,Facebook,5036,3316,623,224,183904
460,2023-07-11,Organic,6450,2255,1735,1292,354008
461,2023-04-10,Organic,4361,1587,1450,939,792516
462,2023-01-02,Organic,3987,566,443,210,176610
463,2023-11-15,Facebook,6768,116,36,5,2870
464,2023-01-19,Organic,1878,1827,56,21,20874
465,2023-04-16,Organic,8916,5473,1514,794,677282
466,2023-11-23,Google Ads,1898,852,540,188,76704
467,2023-01-03,LinkedIn,1288,225,109,47,16732
468,2023-11-22,Google Ads,5815,3889,1929,1303,999401
469,2023-07-13,Organic,2661,2453,141,9,4158
470,2023-11-23,LinkedIn,4642,530,274,146,39712
471,2023-01-03,LinkedIn,3891,2945,2219,2068,1894288
472,2023-07-06,LinkedIn,2339,452,74,21,14343
473,2023-05-20,LinkedIn,3141,1389,1383,814,752950
474,2023-01-23,Facebook,9952,2554,2076,776,427576
475,2023-06-12,Organic,2199,2006,1404,21,7749
476,2023-12-22,Organic,5616,2770,2710,2336,527936
477,2023-06-13,Email,7389,2902,1974,962,582972
478,2023-06-04,Google Ads,8007,5080,1129,733,330583
479,2023-08-31,Facebook,2198,777,244,55,45210
480,2023-03-06,Google Ads,6826,1162,1052,177,46551
481,2023-10-30,LinkedIn,8985,5660,3421,185,74000
482,2023-12-30,Google Ads,2660,1184,302,188,126712
483,2023-05-01,Google Ads,4955,469,317,180,109080
484,2023-02-12,Google Ads,6807,842,136,113,76275
485,2023-01-06,Email,7013,4649,530,30,27000
486,2023-08-25,Google Ads,7251,5676,2998,1496,970904
487,2023-05-01,Email,7754,1142,938,400,282800
488,2023-06-23,Google Ads,2695,254,69,23,7544
489,2023-11-05,LinkedIn,2159,1043,712,482,426570
490,2023-03-04,LinkedIn,5988,4076,3895,2725,1585950
491,2023-01-05,Email,9638,8790,3895,474,317580
492,2023-12-11,LinkedIn,6398,2384,2149,1185,415935
493,2023-06-05,Facebook,4685,928,396,159,73140
494,2023-09-15,Email,2057,1602,1535,631,166584
495,2023-01-05,Facebook,6025,2079,1351,1109,866129
496,2023-08-14,Facebook,2492,1468,957,863,308954
497,2023-04-06,Facebook,5173,2049,46,19,10773
498,2023-02-28,LinkedIn,8079,4880,355,173,128712
499,2023-01-04,Organic,4476,3318,435,206,188284
500,2023-08-22,Organic,4653,4066,1821,474,309522
501,2023-10-23,Google Ads,8660,7086,671,23,12420
502,2023-05-23,LinkedIn,1910,1676,1489,202,193718
503,2023-04-09,Google Ads,8993,5656,2623,1667,1431953
504,2023-02-07,Email,9800,5356,3661,434,66836
