CustomerID,SignupDate,LastActiveDate,SubscriptionType,MonthlyFee,TotalMonthsActive,Churned,CustomerRevenue,SignupMonth,ChurnBinary
CUST_00049,2022-02-25,2022-06-05,Premium,93.64,22,Yes,2060.08,2022-02,1
CUST_00050,2022-12-14,2023-01-14,Premium,101.5,4,Yes,406.0,2022-12,1
CUST_00051,2023-04-05,2023-07-22,Premium,101.01,5,Yes,505.05,2023-04,1
CUST_00052,2022-09-13,2022-11-08,Standard,74.24,3,Yes,222.71999999999997,2022-09,1
CUST_00053,2022-04-11,2022-05-22,Premium,149.96,2,Yes,299.92,2022-04,1
CUST_00054,2022-04-06,2022-05-18,Basic,28.13,8,Yes,225.04,2022-04,1
CUST_00055,2022-08-07,2022-09-06,Standard,54.94,13,Yes,714.22,2022-08,1
CUST_00056,2023-02-04,2023-09-24,Basic,25.7,9,Yes,231.29999999999998,2023-02,1
CUST_00057,2023-07-24,2024-12-03,Premium,99.29,22,Yes,2184.38,2023-07,1
CUST_00058,2022-08-11,2022-09-17,Standard,72.07,2,Yes,144.14,2022-08,1
CUST_00059,2022-11-18,2022-11-21,Basic,31.68,2,Yes,63.36,2022-11,1
CUST_00060,2023-06-28,2023-07-12,Premium,147.65,6,Yes,885.9000000000001,2023-06,1
CUST_00061,2022-07-10,2022-09-24,Basic,21.36,3,Yes,64.08,2022-07,1
CUST_00062,2023-02-18,2023-06-18,Basic,37.81,4,Yes,151.24,2023-02,1
CUST_00063,2023-08-16,2023-09-25,Basic,32.39,20,Yes,647.8,2023-08,1
CUST_00064,2023-11-05,2025-04-23,Standard,59.49,19,Yes,1130.31,2023-11,1
CUST_00065,2022-07-29,2023-06-15,Standard,57.16,22,Yes,1257.52,2022-07,1
CUST_00066,2022-05-15,2024-03-05,Standard,59.0,22,Yes,1298.0,2022-05,1
CUST_00067,2022-03-16,2022-03-30,Standard,68.63,1,Yes,68.63,2022-03,1
CUST_00068,2022-04-13,2022-06-20,Premium,102.79,3,Yes,308.37,2022-04,1
CUST_00069,2022-05-16,2022-06-20,Standard,76.38,12,Yes,916.56,2022-05,1
CUST_00070,2022-10-19,2023-02-08,Standard,75.01,6,Yes,450.06000000000006,2022-10,1
CUST_00071,2022-11-06,2024-04-30,Premium,90.47,20,Yes,1809.4,2022-11,1
CUST_00072,2022-11-03,2023-02-17,Premium,146.34,22,Yes,3219.48,2022-11,1
CUST_00073,2022-09-28,2023-01-19,Basic,22.14,4,Yes,88.56,2022-09,1
CUST_00074,2022-06-09,2022-10-31,Premium,126.29,9,Yes,1136.6100000000001,2022-06,1
CUST_00075,2022-12-18,2023-06-11,Premium,128.05,7,Yes,896.3500000000001,2022-12,1
CUST_00076,2023-06-02,2023-10-08,Standard,77.16,16,Yes,1234.56,2023-06,1
CUST_00077,2022-04-05,2023-06-12,Basic,36.59,21,Yes,768.3900000000001,2022-04,1
CUST_00078,2022-01-04,2022-03-11,Basic,32.74,11,Yes,360.14000000000004,2022-01,1
CUST_00079,2022-06-15,2023-09-10,Standard,66.55,24,Yes,1597.1999999999998,2022-06,1
CUST_00080,2023-07-29,2023-08-01,Standard,52.26,1,Yes,52.26,2023-07,1
CUST_00081,2022-06-02,2022-07-08,Premium,140.08,18,Yes,2521.44,2022-06,1
CUST_00082,2023-07-20,2023-11-07,Premium,97.65,5,Yes,488.25,2023-07,1
CUST_00083,2023-01-09,2023-03-07,Standard,60.73,2,Yes,121.46,2023-01,1
CUST_00084,2022-09-13,2022-12-27,Premium,111.22,22,Yes,2446.84,2022-09,1
CUST_00085,2023-02-21,2023-07-29,Premium,145.55,20,Yes,2911.0,2023-02,1
CUST_00086,2022-06-16,2022-09-29,Basic,20.5,6,Yes,123.0,2022-06,1
CUST_00087,2022-12-07,2024-01-21,Premium,130.19,14,Yes,1822.6599999999999,2022-12,1
CUST_00088,2022-09-12,2022-12-02,Premium,137.24,9,Yes,1235.16,2022-09,1
CUST_00089,2023-01-27,2023-03-22,Basic,29.41,2,Yes,58.82,2023-01,1
CUST_00090,2023-04-17,2023-09-20,Basic,36.41,12,Yes,436.91999999999996,2023-04,1
CUST_00091,2022-08-17,2022-09-07,Basic,23.86,1,Yes,23.86,2022-08,1
CUST_00092,2022-10-13,2022-11-17,Standard,60.53,3,Yes,181.59,2022-10,1
CUST_00093,2023-02-14,2024-08-16,Premium,109.87,22,Yes,2417.1400000000003,2023-02,1
CUST_00094,2022-04-29,2022-07-29,Basic,31.61,9,Yes,284.49,2022-04,1
CUST_00095,2022-02-09,2022-04-26,Standard,63.04,4,Yes,252.16,2022-02,1
CUST_00096,2022-11-18,2023-09-24,Premium,149.05,14,Yes,2086.7000000000003,2022-11,1
CUST_00097,2023-01-30,2023-08-12,Basic,25.09,19,Yes,476.71,2023-01,1
CUST_00098,2023-03-23,2023-04-08,Premium,145.53,1,Yes,145.53,2023-03,1
CUST_00099,2023-12-05,2025-10-21,Premium,101.82,24,Yes,2443.68,2023-12,1
CUST_00100,2022-03-13,2023-02-14,Standard,68.69,22,Yes,1511.1799999999998,2022-03,1
CUST_00101,2022-05-08,2023-03-11,Premium,120.43,24,Yes,2890.32,2022-05,1
CUST_00102,2023-02-23,2023-09-17,Premium,131.83,11,Yes,1450.13,2023-02,1
CUST_00103,2022-05-11,2022-08-26,Premium,129.9,7,Yes,909.3000000000001,2022-05,1
CUST_00104,2023-11-25,2024-05-21,Standard,68.47,24,Yes,1643.28,2023-11,1
CUST_00105,2023-02-20,2023-02-20,Standard,59.12,18,Yes,1064.1599999999999,2023-02,1
CUST_00106,2023-03-17,2024-02-09,Basic,29.3,19,Yes,556.7,2023-03,1
CUST_00107,2023-11-23,2024-04-01,Standard,64.2,7,Yes,449.40000000000003,2023-11,1
CUST_00108,2022-06-23,2022-09-17,Premium,107.03,22,Yes,2354.66,2022-06,1
CUST_00109,2023-10-11,2024-09-18,Premium,95.6,20,Yes,1912.0,2023-10,1
CUST_00110,2023-11-20,2024-03-14,Basic,36.13,10,Yes,361.3,2023-11,1
CUST_00111,2022-01-26,2022-02-10,Basic,39.68,2,Yes,79.36,2022-01,1
CUST_00112,2022-03-16,2022-10-14,Premium,143.17,15,Yes,2147.5499999999997,2022-03,1
CUST_00113,2022-07-19,2023-08-16,Premium,119.66,23,Yes,2752.18,2022-07,1
CUST_00114,2022-06-01,2022-06-06,Basic,37.85,21,Yes,794.85,2022-06,1
CUST_00115,2023-03-12,2023-04-26,Basic,36.08,8,Yes,288.64,2023-03,1
CUST_00116,2023-06-15,2023-07-10,Premium,123.44,15,Yes,1851.6,2023-06,1
CUST_00117,2023-04-13,2023-08-09,Basic,33.35,5,Yes,166.75,2023-04,1
CUST_00118,2023-09-02,2024-04-15,Premium,126.76,11,Yes,1394.3600000000001,2023-09,1
CUST_00119,2023-06-01,2024-03-07,Premium,116.75,14,Yes,1634.5,2023-06,1
CUST_00120,2023-05-02,2023-09-11,Basic,35.04,15,Yes,525.6,2023-05,1
CUST_00121,2022-10-11,2023-06-16,Premium,127.6,17,Yes,2169.2,2022-10,1
CUST_00122,2023-03-27,2023-05-02,Standard,57.03,3,Yes,171.09,2023-03,1
CUST_00123,2022-11-24,2023-02-14,Standard,54.15,18,Yes,974.6999999999999,2022-11,1
CUST_00124,2023-01-28,2023-07-03,Basic,34.13,23,Yes,784.99,2023-01,1
CUST_00125,2023-03-01,2023-08-17,Basic,30.85,14,Yes,431.90000000000003,2023-03,1
CUST_00126,2022-03-05,2022-06-20,Standard,61.68,7,Yes,431.76,2022-03,1
CUST_00127,2023-12-14,2024-01-10,Premium,142.84,1,Yes,142.84,2023-12,1
CUST_00128,2023-01-25,2023-01-28,Premium,146.56,16,Yes,2344.96,2023-01,1
CUST_00129,2023-02-04,2023-11-06,Standard,72.43,14,Yes,1014.0200000000001,2023-02,1
CUST_00130,2023-09-10,2024-01-12,Premium,103.17,8,Yes,825.36,2023-09,1
CUST_00131,2023-05-13,2023-05-25,Standard,60.08,1,Yes,60.08,2023-05,1
CUST_00132,2023-02-19,2023-08-07,Premium,140.43,24,Yes,3370.32,2023-02,1
CUST_00133,2023-09-30,2023-10-27,Basic,38.14,18,Yes,686.52,2023-09,1
CUST_00134,2023-08-01,2023-08-28,Premium,95.04,22,Yes,2090.88,2023-08,1
CUST_00135,2022-05-19,2022-08-20,Standard,51.51,15,Yes,772.65,2022-05,1
CUST_00136,2022-12-02,2023-03-28,Standard,59.81,7,Yes,418.67,2022-12,1
CUST_00137,2022-10-12,2023-02-18,Standard,75.05,14,Yes,1050.7,2022-10,1
CUST_00138,2022-01-20,2023-07-26,Standard,51.56,24,Yes,1237.44,2022-01,1
CUST_00139,2022-08-18,2022-10-27,Standard,73.44,21,Yes,1542.24,2022-08,1
CUST_00140,2022-02-11,2022-03-13,Premium,104.84,1,Yes,104.84,2022-02,1
CUST_00141,2023-09-29,2023-11-29,Basic,22.52,5,Yes,112.6,2023-09,1
CUST_00142,2022-04-28,2022-12-07,Premium,117.9,19,Yes,2240.1,2022-04,1
CUST_00143,2023-01-13,2023-06-17,Standard,68.22,6,Yes,409.32,2023-01,1
CUST_00144,2022-04-28,2022-07-16,Premium,96.49,6,Yes,578.9399999999999,2022-04,1
CUST_00145,2022-11-16,2023-12-05,Basic,27.93,19,Yes,530.67,2022-11,1
CUST_00146,2022-07-23,2022-10-06,Premium,131.44,3,Yes,394.32,2022-07,1
CUST_00147,2022-09-06,2022-12-04,Premium,136.35,4,Yes,545.4,2022-09,1
CUST_00148,2023-09-07,2023-12-17,Premium,149.03,4,Yes,596.12,2023-09,1
CUST_00149,2022-12-22,2024-03-04,Basic,33.23,18,Yes,598.14,2022-12,1
CUST_00150,2023-06-03,2024-05-17,Basic,20.25,21,Yes,425.25,2023-06,1
CUST_00151,2023-05-17,2023-07-11,Standard,78.82,4,Yes,315.28,2023-05,1
CUST_00152,2023-04-16,2023-09-19,Premium,116.13,23,Yes,2670.99,2023-04,1
CUST_00153,2023-06-19,2024-03-21,Premium,126.95,21,Yes,2665.9500000000003,2023-06,1
CUST_00154,2023-05-11,2023-12-20,Premium,139.54,15,Yes,2093.1,2023-05,1
CUST_00155,2022-10-02,2023-02-04,Premium,139.84,11,Yes,1538.24,2022-10,1
CUST_00156,2022-10-13,2023-02-14,Basic,35.01,15,Yes,525.15,2022-10,1
CUST_00157,2023-09-17,2024-10-09,Premium,110.18,22,Yes,2423.96,2023-09,1
CUST_00158,2022-11-29,2023-04-02,Standard,56.36,6,Yes,338.15999999999997,2022-11,1
CUST_00159,2022-12-15,2023-05-05,Standard,66.67,9,Yes,600.03,2022-12,1
CUST_00160,2022-07-15,2022-08-14,Premium,133.2,3,Yes,399.59999999999997,2022-07,1
CUST_00161,2023-07-23,2024-01-15,Standard,64.28,8,Yes,514.24,2023-07,1
CUST_00162,2023-05-18,2024-06-26,Premium,91.03,15,Yes,1365.45,2023-05,1
CUST_00163,2022-08-15,2023-08-04,Standard,57.3,13,Yes,744.9,2022-08,1
CUST_00164,2023-08-19,2024-04-17,Premium,123.21,12,Yes,1478.52,2023-08,1
CUST_00165,2023-03-12,2024-09-25,Standard,59.92,24,Yes,1438.08,2023-03,1
CUST_00166,2023-04-10,2023-09-13,Premium,105.08,9,Yes,945.72,2023-04,1
CUST_00167,2022-07-17,2022-09-16,Basic,34.86,11,Yes,383.46,2022-07,1
CUST_00168,2022-07-09,2022-09-02,Premium,134.32,7,Yes,940.24,2022-07,1
CUST_00169,2023-08-27,2024-06-27,Standard,58.49,17,Yes,994.33,2023-08,1
CUST_00170,2022-07-18,2022-11-11,Basic,27.22,10,Yes,272.2,2022-07,1
CUST_00171,2022-01-15,2023-07-15,Standard,53.8,23,Yes,1237.3999999999999,2022-01,1
CUST_00172,2022-02-25,2022-12-21,Basic,33.95,18,Yes,611.1,2022-02,1
CUST_00173,2023-10-16,2023-12-07,Basic,37.45,16,Yes,599.2,2023-10,1
CUST_00174,2022-10-19,2023-06-21,Premium,116.43,16,Yes,1862.88,2022-10,1
CUST_00175,2022-02-22,2022-10-24,Basic,22.28,9,Yes,200.52,2022-02,1
CUST_00176,2023-02-15,2023-03-24,Basic,31.54,16,Yes,504.64,2023-02,1
CUST_00177,2022-02-24,2022-04-03,Premium,138.67,5,Yes,693.3499999999999,2022-02,1
CUST_00178,2022-03-29,2022-04-28,Standard,66.74,8,Yes,533.92,2022-03,1
CUST_00179,2023-09-13,2024-05-01,Standard,73.27,20,Yes,1465.3999999999999,2023-09,1
CUST_00180,2023-04-07,2023-09-06,Standard,75.8,15,Yes,1137.0,2023-04,1
CUST_00181,2022-11-09,2023-01-09,Standard,68.29,19,Yes,1297.5100000000002,2022-11,1
CUST_00182,2022-04-12,2022-09-19,Premium,102.66,7,Yes,718.62,2022-04,1
CUST_00183,2022-03-25,2022-05-25,Premium,100.43,6,Yes,602.58,2022-03,1
CUST_00184,2022-06-10,2022-06-23,Basic,29.01,1,Yes,29.01,2022-06,1
CUST_00185,2023-04-27,2023-05-13,Premium,103.89,10,Yes,1038.9,2023-04,1
CUST_00186,2022-10-17,2024-01-24,Premium,94.27,23,Yes,2168.21,2022-10,1
CUST_00187,2022-09-28,2024-05-23,Basic,33.22,21,Yes,697.62,2022-09,1
CUST_00188,2023-03-12,2023-05-20,Basic,24.5,4,Yes,98.0,2023-03,1
CUST_00189,2022-09-30,2022-10-18,Basic,21.19,5,Yes,105.95,2022-09,1
CUST_00190,2023-09-02,2025-04-06,Standard,77.64,24,Yes,1863.3600000000001,2023-09,1
CUST_00191,2022-05-08,2023-04-25,Standard,59.12,15,Yes,886.8,2022-05,1
CUST_00192,2022-10-06,2023-07-09,Standard,64.81,17,Yes,1101.77,2022-10,1
CUST_00193,2023-09-05,2023-10-31,Basic,28.64,2,Yes,57.28,2023-09,1
CUST_00194,2023-09-11,2023-09-24,Standard,52.74,9,Yes,474.66,2023-09,1
CUST_00195,2023-08-13,2023-09-03,Premium,149.97,19,Yes,2849.43,2023-08,1
CUST_00196,2022-10-03,2022-11-13,Premium,135.79,19,Yes,2580.0099999999998,2022-10,1
CUST_00197,2023-04-27,2024-03-25,Basic,28.84,17,Yes,490.28,2023-04,1
CUST_00198,2022-07-05,2023-09-24,Standard,69.04,19,Yes,1311.7600000000002,2022-07,1
CUST_00199,2022-04-04,2022-09-29,Standard,62.25,16,Yes,996.0,2022-04,1
CUST_00200,2023-11-18,2024-03-06,Standard,54.82,4,Yes,219.28,2023-11,1
CUST_00201,2023-12-12,2024-05-07,Standard,69.88,16,Yes,1118.08,2023-12,1
CUST_00202,2023-07-18,2023-08-16,Standard,52.64,2,Yes,105.28,2023-07,1
CUST_00203,2022-11-28,2023-03-06,Standard,62.13,4,Yes,248.52,2022-11,1
CUST_00204,2022-01-02,2023-07-11,Premium,117.72,22,Yes,2589.84,2022-01,1
CUST_00205,2022-07-12,2023-01-13,Basic,32.45,17,Yes,551.6500000000001,2022-07,1
CUST_00206,2023-10-03,2024-10-26,Standard,51.55,15,Yes,773.25,2023-10,1
CUST_00207,2023-07-17,2023-09-28,Standard,63.14,5,Yes,315.7,2023-07,1
CUST_00208,2023-05-12,2023-05-15,Premium,148.39,4,Yes,593.56,2023-05,1
CUST_00209,2022-09-03,2023-02-12,Premium,108.65,23,Yes,2498.9500000000003,2022-09,1
CUST_00210,2023-07-20,2023-09-05,Basic,24.49,14,Yes,342.85999999999996,2023-07,1
CUST_00211,2023-04-18,2023-07-09,Basic,36.64,4,Yes,146.56,2023-04,1
CUST_00212,2022-10-26,2023-10-22,Standard,58.2,17,Yes,989.4000000000001,2022-10,1
CUST_00213,2023-04-29,2023-08-23,Standard,66.54,8,Yes,532.32,2023-04,1
CUST_00214,2022-07-15,2023-12-17,Standard,72.39,20,Yes,1447.8,2022-07,1
CUST_00215,2022-03-13,2022-10-11,Basic,26.8,9,Yes,241.20000000000002,2022-03,1
CUST_00216,2022-10-01,2022-10-10,Premium,133.56,1,Yes,133.56,2022-10,1
CUST_00217,2023-08-17,2024-12-30,Premium,141.92,22,Yes,3122.24,2023-08,1
CUST_00218,2023-07-06,2023-12-29,Standard,59.97,16,Yes,959.52,2023-07,1
CUST_00219,2023-01-22,2023-07-05,Premium,142.18,15,Yes,2132.7000000000003,2023-01,1
CUST_00220,2022-09-02,2023-09-29,Premium,104.01,19,Yes,1976.19,2022-09,1
CUST_00221,2022-02-14,2022-10-14,Standard,71.16,11,Yes,782.76,2022-02,1
CUST_00222,2023-01-31,2023-07-05,Standard,64.86,22,Yes,1426.92,2023-01,1
CUST_00223,2022-05-10,2023-09-16,Basic,31.8,17,Yes,540.6,2022-05,1
CUST_00224,2023-03-27,2023-06-02,Basic,38.21,4,Yes,152.84,2023-03,1
CUST_00225,2022-05-28,2023-04-28,Basic,39.4,14,Yes,551.6,2022-05,1
CUST_00226,2023-04-26,2023-10-16,Basic,32.47,9,Yes,292.23,2023-04,1
CUST_00227,2023-10-28,2023-12-09,Standard,75.57,3,Yes,226.70999999999998,2023-10,1
CUST_00228,2023-01-25,2023-12-11,Premium,133.12,11,Yes,1464.3200000000002,2023-01,1
CUST_00229,2023-07-09,2023-08-17,Standard,52.05,2,Yes,104.1,2023-07,1
CUST_00230,2023-12-02,2024-03-27,Premium,134.81,10,Yes,1348.1,2023-12,1
CUST_00231,2022-04-11,2022-07-22,Standard,63.31,21,Yes,1329.51,2022-04,1
CUST_00232,2022-11-03,2022-11-04,Premium,109.46,1,Yes,109.46,2022-11,1
CUST_00233,2022-10-28,2023-05-07,Basic,28.61,12,Yes,343.32,2022-10,1
CUST_00234,2023-06-28,2024-04-12,Basic,33.64,14,Yes,470.96000000000004,2023-06,1
CUST_00235,2022-06-24,2022-07-14,Basic,32.19,6,Yes,193.14,2022-06,1
CUST_00236,2023-09-27,2024-05-30,Standard,64.93,22,Yes,1428.46,2023-09,1
CUST_00237,2022-05-27,2022-09-22,Premium,128.27,8,Yes,1026.16,2022-05,1
CUST_00238,2022-09-19,2022-09-28,Standard,76.97,22,Yes,1693.34,2022-09,1
CUST_00239,2022-10-22,2024-05-03,Standard,54.74,22,Yes,1204.28,2022-10,1
CUST_00240,2022-12-20,2023-10-22,Standard,69.17,19,Yes,1314.23,2022-12,1
CUST_00241,2023-12-08,2024-07-28,Standard,75.36,9,Yes,678.24,2023-12,1
CUST_00242,2023-01-29,2023-03-24,Basic,24.74,16,Yes,395.84,2023-01,1
CUST_00243,2023-01-03,2023-11-01,Premium,149.56,19,Yes,2841.64,2023-01,1
CUST_00244,2022-01-23,2023-03-04,Standard,58.23,22,Yes,1281.06,2022-01,1
CUST_00245,2023-12-04,2024-01-23,Premium,144.64,24,Yes,3471.3599999999997,2023-12,1
CUST_00246,2023-05-24,2023-09-18,Premium,126.42,10,Yes,1264.2,2023-05,1
CUST_00247,2022-08-13,2023-02-23,Standard,68.63,21,Yes,1441.23,2022-08,1
CUST_00248,2023-11-07,2024-03-26,Premium,127.69,22,Yes,2809.18,2023-11,1
CUST_00249,2023-10-24,2023-11-12,Premium,137.32,2,Yes,274.64,2023-10,1
CUST_00250,2023-08-17,2023-10-23,Basic,21.8,12,Yes,261.6,2023-08,1
CUST_00251,2022-12-01,2024-01-30,Standard,55.27,24,Yes,1326.48,2022-12,1
CUST_00252,2023-07-07,2024-04-03,Basic,30.04,12,Yes,360.48,2023-07,1
CUST_00253,2022-06-18,2023-02-19,Standard,79.02,9,Yes,711.18,2022-06,1
CUST_00254,2022-12-13,2023-02-10,Standard,78.89,4,Yes,315.56,2022-12,1
CUST_00255,2022-08-20,2023-09-30,Basic,39.35,22,Yes,865.7,2022-08,1
CUST_00256,2023-01-10,2023-03-01,Premium,90.84,3,Yes,272.52,2023-01,1
CUST_00257,2022-05-07,2022-11-11,Premium,130.37,15,Yes,1955.5500000000002,2022-05,1
CUST_00258,2022-09-26,2023-10-21,Premium,139.35,19,Yes,2647.65,2022-09,1
CUST_00259,2022-04-21,2022-12-16,Standard,64.14,22,Yes,1411.08,2022-04,1
CUST_00260,2023-07-29,2024-06-05,Premium,103.28,11,Yes,1136.08,2023-07,1
CUST_00261,2023-10-13,2024-10-05,Basic,26.04,15,Yes,390.59999999999997,2023-10,1
CUST_00262,2022-04-30,2022-05-11,Standard,78.39,5,Yes,391.95,2022-04,1
CUST_00263,2023-05-20,2023-06-01,Standard,57.04,4,Yes,228.16,2023-05,1
CUST_00264,2022-05-19,2023-01-06,Premium,112.26,13,Yes,1459.38,2022-05,1
CUST_00265,2023-12-15,2025-02-16,Premium,125.24,18,Yes,2254.3199999999997,2023-12,1
CUST_00266,2022-06-08,2023-05-09,Premium,95.94,14,Yes,1343.1599999999999,2022-06,1
CUST_00267,2023-09-23,2024-02-13,Standard,50.98,14,Yes,713.7199999999999,2023-09,1
CUST_00268,2022-08-11,2023-03-26,Standard,78.52,15,Yes,1177.8,2022-08,1
CUST_00269,2022-04-12,2023-04-23,Standard,66.33,22,Yes,1459.26,2022-04,1
CUST_00270,2023-01-03,2023-01-28,Premium,106.55,2,Yes,213.1,2023-01,1
CUST_00271,2023-04-11,2023-07-04,Basic,24.24,3,Yes,72.72,2023-04,1
CUST_00272,2023-09-04,2023-09-05,Premium,137.21,1,Yes,137.21,2023-09,1
CUST_00273,2022-05-09,2022-12-05,Basic,21.37,19,Yes,406.03000000000003,2022-05,1
CUST_00274,2022-08-01,2023-03-10,Premium,138.78,19,Yes,2636.82,2022-08,1
CUST_00275,2022-12-03,2022-12-03,Basic,25.55,5,Yes,127.75,2022-12,1
CUST_00276,2022-05-14,2023-01-25,Basic,35.97,18,Yes,647.46,2022-05,1
CUST_00277,2023-11-08,2023-11-12,Basic,20.3,1,Yes,20.3,2023-11,1
CUST_00278,2023-08-26,2023-09-03,Basic,23.48,11,Yes,258.28000000000003,2023-08,1
CUST_00279,2022-05-10,2023-07-15,Basic,30.52,24,Yes,732.48,2022-05,1
CUST_00280,2022-03-07,2022-10-22,Premium,136.68,16,Yes,2186.88,2022-03,1
CUST_00281,2023-08-31,2023-10-27,Premium,120.23,4,Yes,480.92,2023-08,1
CUST_00282,2022-02-14,2023-12-20,Premium,121.29,24,Yes,2910.96,2022-02,1
CUST_00283,2023-10-21,2023-10-22,Standard,79.96,1,Yes,79.96,2023-10,1
CUST_00284,2023-03-13,2023-07-01,Standard,64.71,22,Yes,1423.62,2023-03,1
CUST_00285,2022-03-17,2022-04-27,Standard,68.25,3,Yes,204.75,2022-03,1
CUST_00286,2022-05-10,2022-10-23,Basic,27.62,9,Yes,248.58,2022-05,1
CUST_00287,2023-06-28,2024-02-15,Premium,120.33,10,Yes,1203.3,2023-06,1
CUST_00288,2022-04-12,2022-08-07,Standard,75.58,23,Yes,1738.34,2022-04,1
CUST_00289,2023-07-19,2024-02-24,Premium,115.8,24,Yes,2779.2,2023-07,1
CUST_00290,2023-02-28,2023-10-18,Basic,27.97,11,Yes,307.66999999999996,2023-02,1
CUST_00291,2022-04-08,2022-11-12,Premium,108.75,11,Yes,1196.25,2022-04,1
CUST_00292,2023-01-19,2023-05-20,Standard,52.01,5,Yes,260.05,2023-01,1
CUST_00293,2022-04-06,2022-05-25,Basic,34.89,14,Yes,488.46000000000004,2022-04,1
