CustomerID,SignupDate,LastActiveDate,SubscriptionType,MonthlyFee,TotalMonthsActive,Churned
CUST_00076,2023-06-02,2023-10-08,Standard,77.16,16,Yes
CUST_00077,2022-04-05,2023-06-12,Basic,36.59,21,Yes
CUST_00078,2022-01-04,2022-03-11,Basic,32.74,11,Yes
CUST_00079,2022-06-15,2023-09-10,Standard,66.55,24,Yes
CUST_00080,2023-07-29,2023-08-01,Standard,52.26,1,Yes
CUST_00081,2022-06-02,2022-07-08,Premium,140.08,18,Yes
CUST_00082,2023-07-20,2023-11-07,Premium,97.65,5,Yes
CUST_00083,2023-01-09,2023-03-07,Standard,60.73,2,Yes
CUST_00084,2022-09-13,2022-12-27,Premium,111.22,22,Yes
CUST_00085,2023-02-21,2023-07-29,Premium,145.55,20,Yes
CUST_00086,2022-06-16,2022-09-29,Basic,20.5,6,Yes
CUST_00087,2022-12-07,2024-01-21,Premium,130.19,14,Yes
CUST_00088,2022-09-12,2022-12-02,Premium,137.24,9,Yes
CUST_00089,2023-01-27,2023-03-22,Basic,29.41,2,Yes
CUST_00090,2023-04-17,2023-09-20,Basic,36.41,12,Yes
CUST_00091,2022-08-17,2022-09-07,Basic,23.86,1,Yes
CUST_00092,2022-10-13,2022-11-17,Standard,60.53,3,Yes
CUST_00093,2023-02-14,2024-08-16,Premium,109.87,22,Yes
CUST_00094,2022-04-29,2022-07-29,Basic,31.61,9,Yes
CUST_00095,2022-02-09,2022-04-26,Standard,63.04,4,Yes
CUST_00096,2022-11-18,2023-09-24,Premium,149.05,14,Yes
CUST_00097,2023-01-30,2023-08-12,Basic,25.09,19,Yes
CUST_00098,2023-03-23,2023-04-08,Premium,145.53,1,Yes
CUST_00099,2023-12-05,2025-10-21,Premium,101.82,24,Yes
CUST_00100,2022-03-13,2023-02-14,Standard,68.69,22,Yes
CUST_00101,2022-05-08,2023-03-11,Premium,120.43,24,Yes
CUST_00102,2023-02-23,2023-09-17,Premium,131.83,11,Yes
CUST_00103,2022-05-11,2022-08-26,Premium,129.9,7,Yes
CUST_00104,2023-11-25,2024-05-21,Standard,68.47,24,Yes
CUST_00105,2023-02-20,2023-02-20,Standard,59.12,18,Yes
CUST_00106,2023-03-17,2024-02-09,Basic,29.3,19,Yes
CUST_00107,2023-11-23,2024-04-01,Standard,64.2,7,Yes
CUST_00108,2022-06-23,2022-09-17,Premium,107.03,22,Yes
CUST_00109,2023-10-11,2024-09-18,Premium,95.6,20,Yes
CUST_00110,2023-11-20,2024-03-14,Basic,36.13,10,Yes
CUST_00111,2022-01-26,2022-02-10,Basic,39.68,2,Yes
CUST_00112,2022-03-16,2022-10-14,Premium,143.17,15,Yes
CUST_00113,2022-07-19,2023-08-16,Premium,119.66,23,Yes
CUST_00114,2022-06-01,2022-06-06,Basic,37.85,21,Yes
CUST_00115,2023-03-12,2023-04-26,Basic,36.08,8,Yes
CUST_00116,2023-06-15,2023-07-10,Premium,123.44,15,Yes
CUST_00117,2023-04-13,2023-08-09,Basic,33.35,5,Yes
CUST_00118,2023-09-02,2024-04-15,Premium,126.76,11,Yes
CUST_00119,2023-06-01,2024-03-07,Premium,116.75,14,Yes
CUST_00120,2023-05-02,2023-09-11,Basic,35.04,15,Yes
CUST_00121,2022-10-11,2023-06-16,Premium,127.6,17,Yes
CUST_00122,2023-03-27,2023-05-02,Standard,57.03,3,Yes
CUST_00123,2022-11-24,2023-02-14,Standard,54.15,18,Yes
CUST_00124,2023-01-28,2023-07-03,Basic,34.13,23,Yes
CUST_00125,2023-03-01,2023-08-17,Basic,30.85,14,Yes
CUST_00126,2022-03-05,2022-06-20,Standard,61.68,7,Yes
CUST_00127,2023-12-14,2024-01-10,Premium,142.84,1,Yes
CUST_00128,2023-01-25,2023-01-28,Premium,146.56,16,Yes
CUST_00129,2023-02-04,2023-11-06,Standard,72.43,14,Yes
CUST_00130,2023-09-10,2024-01-12,Premium,103.17,8,Yes
CUST_00131,2023-05-13,2023-05-25,Standard,60.08,1,Yes
CUST_00132,2023-02-19,2023-08-07,Premium,140.43,24,Yes
CUST_00133,2023-09-30,2023-10-27,Basic,38.14,18,Yes
CUST_00134,2023-08-01,2023-08-28,Premium,95.04,22,Yes
CUST_00135,2022-05-19,2022-08-20,Standard,51.51,15,Yes
CUST_00136,2022-12-02,2023-03-28,Standard,59.81,7,Yes
CUST_00137,2022-10-12,2023-02-18,Standard,75.05,14,Yes
CUST_00138,2022-01-20,2023-07-26,Standard,51.56,24,Yes
CUST_00139,2022-08-18,2022-10-27,Standard,73.44,21,Yes
CUST_00140,2022-02-11,2022-03-13,Premium,104.84,1,Yes
CUST_00141,2023-09-29,2023-11-29,Basic,22.52,5,Yes
CUST_00142,2022-04-28,2022-12-07,Premium,117.9,19,Yes
CUST_00143,2023-01-13,2023-06-17,Standard,68.22,6,Yes
CUST_00144,2022-04-28,2022-07-16,Premium,96.49,6,Yes
CUST_00145,2022-11-16,2023-12-05,Basic,27.93,19,Yes
CUST_00146,2022-07-23,2022-10-06,Premium,131.44,3,Yes
CUST_00147,2022-09-06,2022-12-04,Premium,136.35,4,Yes
CUST_00148,2023-09-07,2023-12-17,Premium,149.03,4,Yes
CUST_00149,2022-12-22,2024-03-04,Basic,33.23,18,Yes
CUST_00150,2023-06-03,2024-05-17,Basic,20.25,21,Yes
CUST_00151,2023-05-17,2023-07-11,Standard,78.82,4,Yes
CUST_00152,2023-04-16,2023-09-19,Premium,116.13,23,Yes
CUST_00153,2023-06-19,2024-03-21,Premium,126.95,21,Yes
CUST_00154,2023-05-11,2023-12-20,Premium,139.54,15,Yes
CUST_00155,2022-10-02,2023-02-04,Premium,139.84,11,Yes
CUST_00156,2022-10-13,2023-02-14,Basic,35.01,15,Yes
CUST_00157,2023-09-17,2024-10-09,Premium,110.18,22,Yes
CUST_00158,2022-11-29,2023-04-02,Standard,56.36,6,Yes
CUST_00159,2022-12-15,2023-05-05,Standard,66.67,9,Yes
CUST_00160,2022-07-15,2022-08-14,Premium,133.2,3,Yes
CUST_00161,2023-07-23,2024-01-15,Standard,64.28,8,Yes
CUST_00162,2023-05-18,2024-06-26,Premium,91.03,15,Yes
CUST_00163,2022-08-15,2023-08-04,Standard,57.3,13,Yes
CUST_00164,2023-08-19,2024-04-17,Premium,123.21,12,Yes
CUST_00165,2023-03-12,2024-09-25,Standard,59.92,24,Yes
CUST_00166,2023-04-10,2023-09-13,Premium,105.08,9,Yes
CUST_00167,2022-07-17,2022-09-16,Basic,34.86,11,Yes
CUST_00168,2022-07-09,2022-09-02,Premium,134.32,7,Yes
CUST_00169,2023-08-27,2024-06-27,Standard,58.49,17,Yes
CUST_00170,2022-07-18,2022-11-11,Basic,27.22,10,Yes
CUST_00171,2022-01-15,2023-07-15,Standard,53.8,23,Yes
CUST_00172,2022-02-25,2022-12-21,Basic,33.95,18,Yes
CUST_00173,2023-10-16,2023-12-07,Basic,37.45,16,Yes
CUST_00174,2022-10-19,2023-06-21,Premium,116.43,16,Yes
CUST_00175,2022-02-22,2022-10-24,Basic,22.28,9,Yes
CUST_00176,2023-02-15,2023-03-24,Basic,31.54,16,Yes
CUST_00177,2022-02-24,2022-04-03,Premium,138.67,5,Yes
CUST_00178,2022-03-29,2022-04-28,Standard,66.74,8,Yes
CUST_00179,2023-09-13,2024-05-01,Standard,73.27,20,Yes
CUST_00180,2023-04-07,2023-09-06,Standard,75.8,15,Yes
CUST_00181,2022-11-09,2023-01-09,Standard,68.29,19,Yes
CUST_00182,2022-04-12,2022-09-19,Premium,102.66,7,Yes
CUST_00183,2022-03-25,2022-05-25,Premium,100.43,6,Yes
CUST_00184,2022-06-10,2022-06-23,Basic,29.01,1,Yes
CUST_00185,2023-04-27,2023-05-13,Premium,103.89,10,Yes
CUST_00186,2022-10-17,2024-01-24,Premium,94.27,23,Yes
CUST_00187,2022-09-28,2024-05-23,Basic,33.22,21,Yes
CUST_00188,2023-03-12,2023-05-20,Basic,24.5,4,Yes
CUST_00189,2022-09-30,2022-10-18,Basic,21.19,5,Yes
CUST_00190,2023-09-02,2025-04-06,Standard,77.64,24,Yes
CUST_00191,2022-05-08,2023-04-25,Standard,59.12,15,Yes
CUST_00192,2022-10-06,2023-07-09,Standard,64.81,17,Yes
CUST_00193,2023-09-05,2023-10-31,Basic,28.64,2,Yes
CUST_00194,2023-09-11,2023-09-24,Standard,52.74,9,Yes
CUST_00195,2023-08-13,2023-09-03,Premium,149.97,19,Yes
CUST_00196,2022-10-03,2022-11-13,Premium,135.79,19,Yes
CUST_00197,2023-04-27,2024-03-25,Basic,28.84,17,Yes
CUST_00198,2022-07-05,2023-09-24,Standard,69.04,19,Yes
CUST_00199,2022-04-04,2022-09-29,Standard,62.25,16,Yes
CUST_00200,2023-11-18,2024-03-06,Standard,54.82,4,Yes
CUST_00201,2023-12-12,2024-05-07,Standard,69.88,16,Yes
CUST_00202,2023-07-18,2023-08-16,Standard,52.64,2,Yes
CUST_00203,2022-11-28,2023-03-06,Standard,62.13,4,Yes
CUST_00204,2022-01-02,2023-07-11,Premium,117.72,22,Yes
CUST_00205,2022-07-12,2023-01-13,Basic,32.45,17,Yes
CUST_00206,2023-10-03,2024-10-26,Standard,51.55,15,Yes
CUST_00207,2023-07-17,2023-09-28,Standard,63.14,5,Yes
CUST_00208,2023-05-12,2023-05-15,Premium,148.39,4,Yes
CUST_00209,2022-09-03,2023-02-12,Premium,108.65,23,Yes
CUST_00210,2023-07-20,2023-09-05,Basic,24.49,14,Yes
CUST_00211,2023-04-18,2023-07-09,Basic,36.64,4,Yes
CUST_00212,2022-10-26,2023-10-22,Standard,58.2,17,Yes
CUST_00213,2023-04-29,2023-08-23,Standard,66.54,8,Yes
CUST_00214,2022-07-15,2023-12-17,Standard,72.39,20,Yes
CUST_00215,2022-03-13,2022-10-11,Basic,26.8,9,Yes
CUST_00216,2022-10-01,2022-10-10,Premium,133.56,1,Yes
CUST_00217,2023-08-17,2024-12-30,Premium,141.92,22,Yes
CUST_00218,2023-07-06,2023-12-29,Standard,59.97,16,Yes
CUST_00219,2023-01-22,2023-07-05,Premium,142.18,15,Yes
CUST_00220,2022-09-02,2023-09-29,Premium,104.01,19,Yes
CUST_00221,2022-02-14,2022-10-14,Standard,71.16,11,Yes
CUST_00222,2023-01-31,2023-07-05,Standard,64.86,22,Yes
CUST_00223,2022-05-10,2023-09-16,Basic,31.8,17,Yes
CUST_00224,2023-03-27,2023-06-02,Basic,38.21,4,Yes
CUST_00225,2022-05-28,2023-04-28,Basic,39.4,14,Yes
CUST_00226,2023-04-26,2023-10-16,Basic,32.47,9,Yes
CUST_00227,2023-10-28,2023-12-09,Standard,75.57,3,Yes
CUST_00228,2023-01-25,2023-12-11,Premium,133.12,11,Yes
CUST_00229,2023-07-09,2023-08-17,Standard,52.05,2,Yes
CUST_00230,2023-12-02,2024-03-27,Premium,134.81,10,Yes
CUST_00231,2022-04-11,2022-07-22,Standard,63.31,21,Yes
CUST_00232,2022-11-03,2022-11-04,Premium,109.46,1,Yes
CUST_00233,2022-10-28,2023-05-07,Basic,28.61,12,Yes
CUST_00234,2023-06-28,2024-04-12,Basic,33.64,14,Yes
CUST_00235,2022-06-24,2022-07-14,Basic,32.19,6,Yes
CUST_00236,2023-09-27,2024-05-30,Standard,64.93,22,Yes
CUST_00237,2022-05-27,2022-09-22,Premium,128.27,8,Yes
CUST_00238,2022-09-19,2022-09-28,Standard,76.97,22,Yes
CUST_00239,2022-10-22,2024-05-03,Standard,54.74,22,Yes
CUST_00240,2022-12-20,2023-10-22,Standard,69.17,19,Yes
CUST_00241,2023-12-08,2024-07-28,Standard,75.36,9,Yes
CUST_00242,2023-01-29,2023-03-24,Basic,24.74,16,Yes
CUST_00243,2023-01-03,2023-11-01,Premium,149.56,19,Yes
CUST_00244,2022-01-23,2023-03-04,Standard,58.23,22,Yes
CUST_00245,2023-12-04,2024-01-23,Premium,144.64,24,Yes
CUST_00246,2023-05-24,2023-09-18,Premium,126.42,10,Yes
CUST_00247,2022-08-13,2023-02-23,Standard,68.63,21,Yes
CUST_00248,2023-11-07,2024-03-26,Premium,127.69,22,Yes
CUST_00249,2023-10-24,2023-11-12,Premium,137.32,2,Yes
CUST_00250,2023-08-17,2023-10-23,Basic,21.8,12,Yes
CUST_00251,2022-12-01,2024-01-30,Standard,55.27,24,Yes
CUST_00252,2023-07-07,2024-04-03,Basic,30.04,12,Yes
CUST_00253,2022-06-18,2023-02-19,Standard,79.02,9,Yes
CUST_00254,2022-12-13,2023-02-10,Standard,78.89,4,Yes
CUST_00255,2022-08-20,2023-09-30,Basic,39.35,22,Yes
CUST_00256,2023-01-10,2023-03-01,Premium,90.84,3,Yes
CUST_00257,2022-05-07,2022-11-11,Premium,130.37,15,Yes
CUST_00258,2022-09-26,2023-10-21,Premium,139.35,19,Yes
CUST_00259,2022-04-21,2022-12-16,Standard,64.14,22,Yes
CUST_00260,2023-07-29,2024-06-05,Premium,103.28,11,Yes
CUST_00261,2023-10-13,2024-10-05,Basic,26.04,15,Yes
CUST_00262,2022-04-30,2022-05-11,Standard,78.39,5,Yes
CUST_00263,2023-05-20,2023-06-01,Standard,57.04,4,Yes
CUST_00264,2022-05-19,2023-01-06,Premium,112.26,13,Yes
CUST_00265,2023-12-15,2025-02-16,Premium,125.24,18,Yes
CUST_00266,2022-06-08,2023-05-09,Premium,95.94,14,Yes
CUST_00267,2023-09-23,2024-02-13,Standard,50.98,14,Yes
CUST_00268,2022-08-11,2023-03-26,Standard,78.52,15,Yes
CUST_00269,2022-04-12,2023-04-23,Standard,66.33,22,Yes
CUST_00270,2023-01-03,2023-01-28,Premium,106.55,2,Yes
CUST_00271,2023-04-11,2023-07-04,Basic,24.24,3,Yes
CUST_00272,2023-09-04,2023-09-05,Premium,137.21,1,Yes
CUST_00273,2022-05-09,2022-12-05,Basic,21.37,19,Yes
CUST_00274,2022-08-01,2023-03-10,Premium,138.78,19,Yes
CUST_00275,2022-12-03,2022-12-03,Basic,25.55,5,Yes
CUST_00276,2022-05-14,2023-01-25,Basic,35.97,18,Yes
CUST_00277,2023-11-08,2023-11-12,Basic,20.3,1,Yes
CUST_00278,2023-08-26,2023-09-03,Basic,23.48,11,Yes
CUST_00279,2022-05-10,2023-07-15,Basic,30.52,24,Yes
CUST_00280,2022-03-07,2022-10-22,Premium,136.68,16,Yes
CUST_00281,2023-08-31,2023-10-27,Premium,120.23,4,Yes
CUST_00282,2022-02-14,2023-12-20,Premium,121.29,24,Yes
CUST_00283,2023-10-21,2023-10-22,Standard,79.96,1,Yes
CUST_00284,2023-03-13,2023-07-01,Standard,64.71,22,Yes
CUST_00285,2022-03-17,2022-04-27,Standard,68.25,3,Yes
CUST_00286,2022-05-10,2022-10-23,Basic,27.62,9,Yes
CUST_00287,2023-06-28,2024-02-15,Premium,120.33,10,Yes
CUST_00288,2022-04-12,2022-08-07,Standard,75.58,23,Yes
CUST_00289,2023-07-19,2024-02-24,Premium,115.8,24,Yes
CUST_00290,2023-02-28,2023-10-18,Basic,27.97,11,Yes
CUST_00291,2022-04-08,2022-11-12,Premium,108.75,11,Yes
CUST_00292,2023-01-19,2023-05-20,Standard,52.01,5,Yes
CUST_00293,2022-04-06,2022-05-25,Basic,34.89,14,Yes
CUST_00294,2022-05-14,2022-07-14,Standard,67.59,18,Yes
CUST_00295,2023-07-30,2023-09-30,Premium,114.65,11,Yes
CUST_00296,2023-03-10,2023-05-01,Premium,148.1,24,Yes
CUST_00297,2022-11-16,2023-01-08,Premium,124.68,12,Yes
CUST_00298,2022-06-08,2023-10-14,Basic,24.48,22,Yes
CUST_00299,2022-12-25,2024-01-05,Basic,22.3,18,Yes
CUST_00300,2023-08-11,2024-03-04,Standard,62.87,8,Yes
CUST_00301,2023-09-29,2025-04-21,Premium,91.58,20,Yes
CUST_00302,2023-12-12,2023-12-26,Premium,100.82,9,Yes
CUST_00303,2022-11-13,2023-05-11,Premium,90.37,11,Yes
CUST_00304,2023-08-03,2024-09-16,Basic,21.39,22,Yes
CUST_00305,2023-10-11,2023-10-13,Premium,134.77,1,Yes
CUST_00306,2023-01-21,2023-09-10,Basic,26.82,14,Yes
CUST_00307,2022-11-16,2023-10-14,Standard,73.31,24,Yes
CUST_00308,2023-09-03,2023-09-09,Premium,99.33,3,Yes
CUST_00309,2022-02-20,2022-05-14,Premium,106.33,22,Yes
CUST_00310,2023-03-11,2024-01-15,Premium,116.52,16,Yes
CUST_00311,2022-08-09,2022-10-06,Standard,60.36,17,Yes
CUST_00312,2022-10-18,2024-06-16,Basic,29.73,22,Yes
CUST_00313,2022-11-12,2022-11-26,Premium,113.72,2,Yes
CUST_00314,2022-02-26,2022-03-04,Premium,108.09,1,Yes
CUST_00315,2022-05-21,2022-10-16,Basic,26.56,9,Yes
CUST_00316,2023-05-25,2024-08-07,Basic,23.51,24,Yes
CUST_00317,2023-06-30,2024-02-20,Standard,65.01,23,Yes
CUST_00318,2022-12-29,2023-02-17,Premium,141.71,3,Yes
CUST_00319,2023-03-23,2023-04-06,Basic,38.42,1,Yes
CUST_00320,2023-08-13,2024-06-01,Standard,62.13,14,Yes
CUST_00321,2023-03-04,2023-05-01,Premium,114.3,10,Yes
CUST_00322,2022-06-25,2023-10-09,Standard,74.96,20,Yes
CUST_00323,2022-04-01,2022-05-25,Standard,57.3,14,Yes
CUST_00324,2023-02-15,2023-03-27,Premium,113.75,17,Yes
CUST_00325,2022-12-14,2023-03-09,Standard,73.37,8,Yes
CUST_00326,2023-06-07,2023-10-01,Basic,30.61,21,Yes
CUST_00327,2022-12-24,2023-11-19,Basic,36.3,12,Yes
CUST_00328,2022-04-16,2022-06-20,Basic,23.95,5,Yes
CUST_00329,2022-06-06,2022-08-22,Premium,100.63,21,Yes
CUST_00330,2023-05-21,2024-06-10,Premium,123.82,15,Yes
CUST_00331,2023-04-05,2024-11-03,Premium,128.58,22,Yes
CUST_00332,2022-11-27,2023-10-16,Premium,99.06,21,Yes
CUST_00333,2023-04-26,2024-03-14,Basic,26.06,15,Yes
CUST_00334,2023-08-29,2023-09-20,Standard,65.22,2,Yes
CUST_00335,2023-04-18,2023-05-07,Standard,51.71,15,Yes
CUST_00336,2022-03-20,2022-06-20,Standard,68.45,21,Yes
CUST_00337,2023-01-29,2023-11-22,Premium,123.26,15,Yes
CUST_00338,2022-02-12,2023-04-02,Premium,124.3,15,Yes
CUST_00339,2022-11-26,2024-03-27,Basic,30.03,20,Yes
CUST_00340,2023-04-07,2023-07-19,Basic,37.98,4,Yes
CUST_00341,2022-03-28,2023-02-21,Standard,55.18,17,Yes
CUST_00342,2023-12-26,2024-08-06,Basic,30.48,15,Yes
CUST_00343,2022-06-12,2022-12-19,Premium,145.08,12,Yes
CUST_00344,2023-02-23,2023-12-26,Standard,51.57,11,Yes
CUST_00345,2023-10-25,2023-11-27,Premium,109.78,11,Yes
CUST_00346,2023-11-26,2024-04-19,Premium,105.12,13,Yes
CUST_00347,2023-09-10,2023-12-04,Premium,94.89,5,Yes
CUST_00348,2022-05-25,2022-10-30,Premium,148.06,12,Yes
CUST_00349,2023-11-10,2024-01-15,Premium,125.7,13,Yes
CUST_00350,2022-11-14,2023-12-04,Basic,32.87,18,Yes
CUST_00351,2022-05-11,2023-11-01,Standard,52.8,22,Yes
CUST_00352,2023-03-10,2023-09-11,Premium,91.09,17,Yes
CUST_00353,2022-07-04,2022-09-29,Standard,78.43,7,Yes
CUST_00354,2022-07-16,2022-08-20,Standard,54.65,8,Yes
CUST_00355,2022-04-14,2023-05-13,Standard,66.19,17,Yes
CUST_00356,2023-06-24,2023-08-05,Premium,110.21,2,Yes
CUST_00357,2022-05-15,2023-06-04,Premium,99.26,20,Yes
CUST_00358,2023-12-11,2024-05-28,Basic,34.42,20,Yes
CUST_00359,2023-02-25,2024-02-06,Basic,34.39,12,Yes
CUST_00360,2023-09-18,2024-05-04,Standard,57.02,10,Yes
CUST_00361,2022-11-13,2024-02-18,Basic,36.7,16,Yes
CUST_00362,2023-11-26,2025-02-19,Standard,63.85,19,Yes
CUST_00363,2023-01-27,2023-10-24,Standard,62.56,17,Yes
CUST_00364,2022-07-24,2022-12-12,Basic,37.46,20,Yes
CUST_00365,2023-10-19,2025-01-08,Basic,27.42,16,Yes
CUST_00366,2023-12-30,2025-03-09,Basic,22.49,17,Yes
CUST_00367,2022-06-14,2023-01-30,Basic,38.11,9,Yes
CUST_00368,2023-03-24,2023-04-21,Basic,36.33,3,Yes
CUST_00369,2022-01-28,2022-02-24,Standard,61.89,14,Yes
CUST_00370,2022-08-30,2022-10-10,Standard,61.25,13,Yes
CUST_00371,2022-11-23,2023-03-10,Basic,34.29,4,Yes
CUST_00372,2022-05-30,2022-06-08,Standard,58.61,5,Yes
CUST_00373,2023-12-14,2024-04-12,Standard,63.46,5,Yes
CUST_00374,2022-03-23,2022-03-31,Basic,24.31,1,Yes
CUST_00375,2023-07-16,2025-03-30,Basic,30.56,24,Yes
CUST_00376,2022-10-23,2023-01-08,Basic,22.44,8,Yes
CUST_00377,2023-03-06,2024-06-16,Basic,21.26,21,Yes
CUST_00378,2023-09-04,2023-09-20,Standard,68.96,18,Yes
CUST_00379,2022-09-05,2023-01-30,Premium,107.48,23,Yes
CUST_00380,2023-09-22,2024-01-23,Basic,31.41,12,Yes
CUST_00381,2023-11-12,2024-02-07,Basic,30.47,22,Yes
CUST_00382,2022-03-11,2022-12-14,Standard,65.22,17,Yes
CUST_00383,2023-07-22,2023-08-03,Premium,142.4,1,Yes
CUST_00384,2023-10-13,2024-04-21,Basic,25.07,13,Yes
CUST_00385,2023-01-01,2023-02-14,Basic,24.82,3,Yes
CUST_00386,2023-10-06,2024-01-12,Premium,124.91,4,Yes
CUST_00387,2022-05-17,2022-06-08,Standard,66.38,2,Yes
CUST_00388,2022-06-29,2023-10-17,Premium,148.85,22,Yes
CUST_00389,2023-10-09,2023-11-12,Standard,51.89,6,Yes
CUST_00390,2022-02-07,2022-05-21,Standard,51.31,10,Yes
CUST_00391,2022-02-12,2022-07-20,Basic,30.31,11,Yes
CUST_00392,2023-04-30,2023-05-18,Premium,135.2,9,Yes
CUST_00393,2022-10-20,2022-11-13,Basic,37.32,12,Yes
CUST_00394,2022-10-07,2023-01-17,Standard,61.04,4,Yes
CUST_00395,2023-03-27,2023-09-16,Standard,79.21,13,Yes
CUST_00396,2023-12-10,2024-06-15,Standard,77.73,16,Yes
CUST_00397,2022-10-01,2022-11-24,Premium,94.74,3,Yes
